rater_id,ratee_id,collaboration,contribution,communication,again,comment
S01,S02,4,4,3,5,
S01,S03,3,3,3,4,
S01,S04,2,2,2,1,
S01,S05,3,4,4,4,
S01,S06,4,3,4,4,
S02,S01,4,4,3,4,
S02,S03,3,3,2,5,
S02,S04,5,5,5,3,
S02,S05,5,4,5,5,
S02,S06,4,4,4,3,
S03,S01,5,5,5,5,
S03,S02,4,4,2,4,
S03,S04,3,4,3,3,
S03,S05,3,3,3,4,
S03,S06,4,5,4,3,
S04,S01,1,2,1,1,
S04,S02,4,4,5,3,
S04,S03,4,4,4,5,
S04,S05,3,4,3,4,
S04,S06,5,4,3,4,
S05,S01,5,5,4,4,
S05,S02,5,4,5,5,
S05,S03,4,4,4,4,
S05,S04,5,5,5,4,
S05,S06,4,4,5,4,
S06,S01,2,3,4,4,
S06,S02,3,4,3,4,
S06,S03,3,2,3,5,
S06,S04,3,3,4,3,
S06,S05,4,3,3,5,
S07,S08,4,3,4,4,
S07,S09,5,4,5,5,
S07,S10,5,5,3,4,
S07,S11,3,2,3,5,
S07,S12,4,3,3,4,
S08,S07,2,2,3,5,
S08,S09,3,2,3,4,
S08,S10,4,4,4,5,
S08,S11,1,1,2,1,
S08,S12,5,4,4,3,
S09,S07,5,5,5,5,
S09,S08,2,3,3,4,
S09,S10,3,3,4,5,
S09,S11,2,3,3,4,
S09,S12,2,4,2,3,
S10,S07,4,4,4,5,
S10,S08,5,5,5,4,
S10,S09,4,5,3,5,
S10,S11,4,3,4,5,
S10,S12,3,3,2,4,
S11,S07,4,4,4,5,
S11,S08,1,1,2,1,
S11,S09,4,4,4,5,
S11,S10,5,5,5,4,
S11,S12,4,3,4,3,
S12,S07,5,5,3,5,
S12,S08,4,3,3,4,
S12,S09,2,3,3,3,
S12,S10,3,3,4,4,
S12,S11,4,5,4,3,
S13,S14,3,4,5,3,
S13,S15,3,3,4,3,
S13,S16,5,4,5,3,
S13,S17,3,4,5,4,
S13,S18,5,4,5,3,
S14,S13,3,2,3,4,
S14,S15,4,4,4,5,
S14,S16,5,5,5,3,
S14,S17,2,1,1,1,
S14,S18,3,4,3,5,
S15,S13,4,4,4,4,
S15,S14,3,3,3,4,
S15,S16,4,3,4,3,
S15,S17,3,4,3,3,
S15,S18,4,3,3,4,
S16,S13,4,3,3,4,
S16,S14,3,4,4,4,
S16,S15,5,5,4,4,
S16,S17,3,3,2,4,
S16,S18,3,5,4,4,
S17,S13,2,2,3,3,
S17,S14,1,2,1,1,
S17,S15,3,4,4,4,
S17,S16,3,4,3,5,
S17,S18,3,3,2,5,
S18,S13,5,4,5,3,
S18,S14,2,3,3,3,
S18,S15,5,3,3,4,
S18,S16,4,3,5,3,
S18,S17,4,4,5,4,
S19,S20,3,3,3,4,
S19,S21,5,5,5,5,
S19,S22,5,3,5,4,
S19,S23,3,2,3,4,
S20,S19,4,4,3,5,
S20,S21,4,3,2,4,
S20,S22,4,4,5,5,
S20,S23,3,4,4,3,
S21,S19,5,5,5,5,
S21,S20,3,4,2,5,
S21,S22,5,4,4,3,
S21,S23,4,5,5,4,
S22,S19,3,2,3,4,
S22,S20,5,5,3,4,
S22,S21,4,4,4,4,
S22,S23,4,3,4,4,
S23,S19,3,2,3,4,
S23,S20,3,4,3,4,
S23,S21,4,3,5,5,
S23,S22,4,5,5,4,
